sport_id,sport_key,sport,season,country,total_sport_medals_count,total_sport_medals_score
44,ALP,Alpine Skiing,Winter,AUS,4,8
44,ALP,Alpine Skiing,Winter,AUT,103,197
44,ALP,Alpine Skiing,Winter,BLR,3,4
44,ALP,Alpine Skiing,Winter,CAN,18,35
44,ALP,Alpine Skiing,Winter,CHN,3,7
44,ALP,Alpine Skiing,Winter,CRO,7,18
44,ALP,Alpine Skiing,Winter,CZE,1,1
44,ALP,Alpine Skiing,Winter,CZR,1,3
44,ALP,Alpine Skiing,Winter,ESP,2,4
44,ALP,Alpine Skiing,Winter,FIN,6,11
44,ALP,Alpine Skiing,Winter,FRA,54,108
44,ALP,Alpine Skiing,Winter,FRG,9,20
44,ALP,Alpine Skiing,Winter,GER,29,61
44,ALP,Alpine Skiing,Winter,ITA,29,62
44,ALP,Alpine Skiing,Winter,JPN,3,6
44,ALP,Alpine Skiing,Winter,LIE,9,15
44,ALP,Alpine Skiing,Winter,LUX,2,4
44,ALP,Alpine Skiing,Winter,NOR,31,61
44,ALP,Alpine Skiing,Winter,NZL,1,2
44,ALP,Alpine Skiing,Winter,RUS,4,6
44,ALP,Alpine Skiing,Winter,SLO,3,3
44,ALP,Alpine Skiing,Winter,SUI,64,130
44,ALP,Alpine Skiing,Winter,SVK,1,2
44,ALP,Alpine Skiing,Winter,SWE,16,30
44,ALP,Alpine Skiing,Winter,URS,2,3
44,ALP,Alpine Skiing,Winter,USA,55,120
44,ALP,Alpine Skiing,Winter,UZB,1,3
44,ALP,Alpine Skiing,Winter,YUG,2,4
1,ARC,Archery,Summer,AUS,2,4
1,ARC,Archery,Summer,BEL,51,134
1,ARC,Archery,Summer,CHN,15,28
1,ARC,Archery,Summer,ESP,3,9
1,ARC,Archery,Summer,FIN,6,11
1,ARC,Archery,Summer,FRA,46,82
1,ARC,Archery,Summer,GBR,13,19
1,ARC,Archery,Summer,GER,6,9
1,ARC,Archery,Summer,INA,3,6
1,ARC,Archery,Summer,ITA,12,20
1,ARC,Archery,Summer,JPN,3,5
1,ARC,Archery,Summer,KOR,52,135
1,ARC,Archery,Summer,NED,9,25
1,ARC,Archery,Summer,POL,4,5
1,ARC,Archery,Summer,RUS,1,1
1,ARC,Archery,Summer,SWE,2,4
1,ARC,Archery,Summer,TPE,6,9
1,ARC,Archery,Summer,UKR,8,13
1,ARC,Archery,Summer,URS,11,16
1,ARC,Archery,Summer,USA,52,111
2,ART,Art Contests,Summer,AUT,10,19
2,ART,Art Contests,Summer,BEL,8,13
2,ART,Art Contests,Summer,CAN,2,3
2,ART,Art Contests,Summer,CZE,3,4
2,ART,Art Contests,Summer,DEN,9,14
2,ART,Art Contests,Summer,FIN,5,12
2,ART,Art Contests,Summer,FRA,16,34
2,ART,Art Contests,Summer,GBR,9,21
2,ART,Art Contests,Summer,GER,26,53
2,ART,Art Contests,Summer,GRE,1,3
2,ART,Art Contests,Summer,HUN,5,10
2,ART,Art Contests,Summer,IND,1,2
2,ART,Art Contests,Summer,IRL,3,4
2,ART,Art Contests,Summer,ITA,4,7
2,ART,Art Contests,Summer,JPN,2,2
2,ART,Art Contests,Summer,KIT,10,24
2,ART,Art Contests,Summer,LUX,3,8
2,ART,Art Contests,Summer,MON,1,1
2,ART,Art Contests,Summer,NED,7,12
2,ART,Art Contests,Summer,NOR,1,2
2,ART,Art Contests,Summer,POL,8,16
2,ART,Art Contests,Summer,SAF,2,3
2,ART,Art Contests,Summer,SUI,11,28
2,ART,Art Contests,Summer,SWE,4,8
2,ART,Art Contests,Summer,USA,9,22
37,ATH,Track & Field,Summer,ALG,6,13
37,ATH,Track & Field,Summer,ANZ,1,1
37,ATH,Track & Field,Summer,ARG,5,12
37,ATH,Track & Field,Summer,AUS,84,163
37,ATH,Track & Field,Summer,AUT,7,11
37,ATH,Track & Field,Summer,BAH,19,41
37,ATH,Track & Field,Summer,BAR,1,1
37,ATH,Track & Field,Summer,BDI,1,3
37,ATH,Track & Field,Summer,BEL,15,31
37,ATH,Track & Field,Summer,BIN,2,4
37,ATH,Track & Field,Summer,BLR,18,31
37,ATH,Track & Field,Summer,BOH,1,2
37,ATH,Track & Field,Summer,BRA,20,34
37,ATH,Track & Field,Summer,BRN,1,3
37,ATH,Track & Field,Summer,BUL,18,35
37,ATH,Track & Field,Summer,BWI,5,5
37,ATH,Track & Field,Summer,CAN,84,148
37,ATH,Track & Field,Summer,CHI,2,4
37,ATH,Track & Field,Summer,CHN,15,28
37,ATH,Track & Field,Summer,CIV,1,2
37,ATH,Track & Field,Summer,CMR,2,6
37,ATH,Track & Field,Summer,COL,1,1
37,ATH,Track & Field,Summer,CRO,1,2
37,ATH,Track & Field,Summer,CUB,55,97
37,ATH,Track & Field,Summer,CZE,22,48
37,ATH,Track & Field,Summer,CZR,10,23
37,ATH,Track & Field,Summer,DEN,6,8
37,ATH,Track & Field,Summer,DEU,11,19
37,ATH,Track & Field,Summer,DJI,1,1
37,ATH,Track & Field,Summer,DOM,1,3
37,ATH,Track & Field,Summer,ECU,2,5
37,ATH,Track & Field,Summer,ERI,1,1
37,ATH,Track & Field,Summer,ESP,11,19
37,ATH,Track & Field,Summer,EST,5,10
37,ATH,Track & Field,Summer,ETH,38,80
37,ATH,Track & Field,Summer,FIN,123,270
37,ATH,Track & Field,Summer,FRA,97,159
37,ATH,Track & Field,Summer,FRG,67,114
37,ATH,Track & Field,Summer,GBR,294,553
37,ATH,Track & Field,Summer,GDR,139,290
37,ATH,Track & Field,Summer,GER,132,228
37,ATH,Track & Field,Summer,GRE,36,65
37,ATH,Track & Field,Summer,HAI,1,2
37,ATH,Track & Field,Summer,HUN,49,84
37,ATH,Track & Field,Summer,INT,5,10
37,ATH,Track & Field,Summer,IRL,6,16
37,ATH,Track & Field,Summer,ISL,2,3
37,ATH,Track & Field,Summer,ITA,49,88
37,ATH,Track & Field,Summer,JAM,93,177
37,ATH,Track & Field,Summer,JAP,4,4
37,ATH,Track & Field,Summer,JPN,21,42
37,ATH,Track & Field,Summer,KAZ,2,4
37,ATH,Track & Field,Summer,KEN,74,153
37,ATH,Track & Field,Summer,KIT,23,39
37,ATH,Track & Field,Summer,KOR,2,5
37,ATH,Track & Field,Summer,KSA,1,2
37,ATH,Track & Field,Summer,LAT,5,9
